Product Name,Slug,Category,Current Brand,Brand Verified,Colour,Shape,Material,Lens Width (mm),Bridge Width (mm),Temple Length (mm),Stock Status,Current Price,Verification Notes
Product 196,product-196,eyeglasses,,,,,,,,,,3550,
Men's Sheet,men-s-sheet,eyeglasses,,No,,,,,,,,2950,A brand name for this product was removed from the public listing until Anwar Optical confirms authenticity/authorization. Please confirm if this is a genuine branded item.
Ringmaster,ringmaster,eyeglasses,,No,,,,,,,,2950,A brand name for this product was removed from the public listing until Anwar Optical confirms authenticity/authorization. Please confirm if this is a genuine branded item.
Sheet Eyewear,sheet-eyewear,eyeglasses,,No,,,,,,,,2950,A brand name for this product was removed from the public listing until Anwar Optical confirms authenticity/authorization. Please confirm if this is a genuine branded item.
Sheet Eyewear Mens,sheet-eyewear-mens,eyeglasses,,No,,,,,,,,2950,A brand name for this product was removed from the public listing until Anwar Optical confirms authenticity/authorization. Please confirm if this is a genuine branded item.
Metal Ladies Eyewear,metal-ladies-eyewear,eyeglasses,,,,,,,,,,1650,
Metal Cat Eye Ladies,metal-cat-eye-ladies,eyeglasses,,,,,,,,,,1650,
Metal Ladies Eyewear,metal-ladies-eyewear-32118,eyeglasses,,,,,,,,,,1250,
Rounded Metal Ladies Eyewear,rounded-metal-ladies-eyewear,eyeglasses,,,,,,,,,,1150,
Metal Penta Shape Ladies,metal-penta-shape-ladies,eyeglasses,,,,,,,,,,1250,
Transparent Sheet,transparent-sheet,eyeglasses,,,,,,,,,,1150,
Sapphire Sheet Frame,sapphire-sheet-frame,eyeglasses,,,,,,,,,,950,
Ladies Glass Sunglass,ladies-glass-sunglass,sunglasses,,,,,,,,,,1650,
Ladies Eyewear,ladies-eyewear,eyeglasses,,,,,,,,,,1450,
Ladies Fancy Eyewear,ladies-fancy-eyewear,eyeglasses,,,,,,,,,,1650,
Ladies Fancy Eyewear,ladies-fancy-eyewear-31985,eyeglasses,,,,,,,,,,1650,
Metal Eyewear,metal-eyewear,eyeglasses,,No,,,,,,,,2250,A brand name for this product was removed from the public listing until Anwar Optical confirms authenticity/authorization. Please confirm if this is a genuine branded item.
Kids Eyewear Sheet Age 10 To 15 Years,kids-eyewear-sheet-age-10-to-15-years,eyeglasses,,,,,,,,,,950,
Kids Eyewear Sheet Age 10-15,kids-eyewear-sheet-age-10-15,eyeglasses,,,,,,,,,,950,
Fancy Sheet,fancy-sheet,eyeglasses,,,,,,,,,,1250,
Metal Men's Eyewear,metal-men-s-eyewear,eyeglasses,,No,,,,,,,,2250,A brand name for this product was removed from the public listing until Anwar Optical confirms authenticity/authorization. Please confirm if this is a genuine branded item.
Kids Eyewear Age 8 To 10 Years Plastic,kids-eyewear-age-8-to-10-years-plastic,eyeglasses,,,,,,,,,,750,
Metal Eyewear,metal-eyewear-31767,eyeglasses,,,Brown,,,52,,,,1250,
Fancy Metal Eyewear,fancy-metal-eyewear,eyeglasses,,,Black,,,52,,,,1250,
Metal Eyewear,metal-eyewear-31660,eyeglasses,,,,,,,,,,1250,
Sheet Plastic Waferer Square,sheet-plastic-waferer-square,eyeglasses,,,,,,,,,,950,
Metal Fancy,metal-fancy,eyeglasses,,,,,,,,,,2500,
Metal Fancy Halfrimless,metal-fancy-halfrimless,eyeglasses,,,,,,,,,,2250,
Sheet Plastic Dynamic,sheet-plastic-dynamic,eyeglasses,,,,,,,,,,1550,
Kids Eyewear Sheet Rubber Plastic,kids-eyewear-sheet-rubber-plastic,eyeglasses,,,,,,,,,,750,
Kids Eyewear Sheet Rubber Plastic,kids-eyewear-sheet-rubber-plastic-31365,eyeglasses,,,,,,,,,,750,
Kids Eyewear Sheet Rubber Plastic,kids-eyewear-sheet-rubber-plastic-31347,eyeglasses,,,,,,,,,,750,
Tranparent Shine White Sheet Plastic,tranparent-shine-white-sheet-plastic,eyeglasses,,,,,,,,,,1250,
Tranparent Shine White Sheet Plastic,tranparent-shine-white-sheet-plastic-31342,eyeglasses,,,,,,,,,,1250,
Tranparent Shine White Sheet Plastic,tranparent-shine-white-sheet-plastic-31340,eyeglasses,,,,,,,,,,1250,
Transparent Shine,transparent-shine,eyeglasses,,,,,,,,,,1250,
Mate Sheet Transparent Light Weight,mate-sheet-transparent-light-weight,eyeglasses,,,,,,,,,,750,
Mate Transparent Sheet Flexible Plastic Frame,mate-transparent-sheet-flexible-plastic-frame,eyeglasses,,,,,,,,,,950,
Sheet Eyewear Ladies Plastic Dual Color Rounded,sheet-eyewear-ladies-plastic-dual-color-rounded,eyeglasses,,,,,,,,,,1250,
Sheet Eyewear Cat Eyes Plastic Fancy Frame,sheet-eyewear-cat-eyes-plastic-fancy-frame,eyeglasses,,,,,,,,,,1250,
Sheet Eyewear Fancy Ladies Frame,sheet-eyewear-fancy-ladies-frame,eyeglasses,,,,,,,,,,1250,
Sheet Frame Ladies Malysia Color,sheet-frame-ladies-malysia-color,eyeglasses,,,,,,,,,,1550,
Sheet Frame Ladies Article,sheet-frame-ladies-article,eyeglasses,,,,,,,,,,1550,
Level Nine Metal Fancy,level-nine-metal-fancy,eyeglasses,,,,,,,,,,1500,
Sheet Frame Ladies Eyewear Made In Taiwan,sheet-frame-ladies-eyewear-made-in-taiwan,eyeglasses,,,,,,,,,,1250,
Sheet Eyewear Original Plastic,sheet-eyewear-original-plastic,eyeglasses,,,,,,,,,,1250,
Ocher (Made In Korea),ocher-made-in-korea,contact-lens,,,,,,,,,,2250,Product name appears to already describe the shade â€” confirm if this should be recorded as the colour.
Huskey Brown,huskey-brown,contact-lens,,,,,,,,,,2250,Product name appears to already describe the shade â€” confirm if this should be recorded as the colour.
Lumerier Grey,lumerier-grey,contact-lens,,,,,,,,,,2250,Product name appears to already describe the shade â€” confirm if this should be recorded as the colour.
Balle Sheet,balle-sheet,eyeglasses,,,,,,,,,,1199,
Discovery Sheet Hard Plastic,discovery-sheet-hard-plastic,eyeglasses,,,,,,,,,,1550,
Sheet Transparent,sheet-transparent,eyeglasses,,,,,,,,,,1099,
Mate Transparent,mate-transparent,sunglasses,,No,,,,,,,,1850,A brand name for this product was removed from the public listing until Anwar Optical confirms authenticity/authorization. Please confirm if this is a genuine branded item.
Aviator Goldengreen,aviator-goldengreen,sunglasses,,No,,,,,,,,2250,A brand name for this product was removed from the public listing until Anwar Optical confirms authenticity/authorization. Please confirm if this is a genuine branded item.
Rb3689 Bi-gradient,rb3689-bi-gradient,sunglasses,,No,,,,,,,,2250,A brand name for this product was removed from the public listing until Anwar Optical confirms authenticity/authorization. Please confirm if this is a genuine branded item.
Platinum Grey,platinum-grey,contact-lens,,,,,,,,,,2250,Product name appears to already describe the shade â€” confirm if this should be recorded as the colour.
Sabrin Grey-green,sabrin-grey-green,contact-lens,,,,,,,,,,2250,Product name appears to already describe the shade â€” confirm if this should be recorded as the colour.
Topaz Color Contact Lense,topaz-color-contact-lense,contact-lens,,,,,,,,,,2250,Product name appears to already describe the shade â€” confirm if this should be recorded as the colour.
Amber Gold,amber-gold,contact-lens,,,,,,,,,,2250,Product name appears to already describe the shade â€” confirm if this should be recorded as the colour.
Sheet Eyewear Daimond Cut Pink Transparent Ladies Frame,sheet-eyewear-daimond-cut-pink-transparent-ladies-frame,eyeglasses,,,,,,,,,,1250,
Sheet Eyewear Cat Eye,sheet-eyewear-cat-eye,eyeglasses,,,,,,,,,,750,
